date,forecasted_stars
2024-04-30,203.87636
2024-05-01,178.06807
2024-05-02,200.50943
2024-05-03,185.29486
2024-05-04,175.83072
2024-05-05,183.42387
2024-05-06,213.49829
2024-05-07,223.3431
2024-05-08,215.44818
2024-05-09,205.62318
2024-05-10,190.95966
2024-05-11,207.78354
2024-05-12,200.74132
2024-05-13,211.63962
2024-05-14,228.31888
2024-05-15,203.64932
2024-05-16,203.65405
2024-05-17,201.11263
2024-05-18,238.0093
2024-05-19,186.32263
2024-05-20,199.1369
2024-05-21,205.04968
2024-05-22,234.48584
2024-05-23,254.23915
2024-05-24,217.44023
2024-05-25,227.3992
2024-05-26,251.37508
2024-05-27,255.48215
2024-05-28,254.23773
2024-05-29,243.36563
